"reassignments","bus_comp_hrs","priorities"
2,15.67,"Medium"
1,33.43,"Low"
1,1.71,"Medium"
1,0.77,"Low"
1,0.08,"Medium"
1,4.13,"Medium"
1,21.09,"Low"
2,150,"Medium"
1,0.13,"Medium"
1,31.82,"Medium"
4,187.18,"Low"
1,20.15,"Medium"
1,18.52,"Medium"
1,3.43,"Medium"
1,33.5,"Medium"
0,0,"Medium"
1,15.2,"Medium"
1,15.03,"Medium"
1,0,"Medium"
0,0,"Medium"
1,54.57,"Medium"
2,144.4,"Medium"
0,4.78,"Low"
1,0.35,"Medium"
1,0,"Low"
0,1.17,"Low"
0,1.03,"Low"
1,48.08,"Low"
1,0.42,"Medium"
4,191.82,"Medium"
1,1.22,"Medium"
0,1.67,"Low"
0,1.68,"Low"
0,0,"Medium"
0,1.83,"Low"
1,665.95,"Low"
1,12.45,"Medium"
2,0,"Medium"
2,3.85,"Low"
1,5.8,"Medium"
1,0,"Medium"
1,0,"Medium"
2,210.53,"Low"
1,5.13,"Low"
0,4.08,"Low"
1,16.88,"Low"
3,80.12,"Low"
1,160,"Low"
1,0.58,"Medium"
0,1.75,"Low"
0,1.87,"Low"
0,1.62,"Low"
0,1.08,"Low"
1,2.4,"Medium"
0,0.52,"Low"
3,506.36,"Low"
1,13.1,"Medium"
1,29.6,"Medium"
1,3.05,"Low"
6,19.34,"Medium"
1,12.87,"Medium"
1,3.57,"Low"
2,21,"Low"
2,51.95,"Low"
2,178.5,"Medium"
1,1.08,"Low"
1,29.88,"Medium"
1,3.85,"Medium"
1,0.85,"Medium"
1,2.2,"Low"
2,27.4,"Low"
1,50.5,"Low"
1,0.5,"Low"
1,20.2,"Medium"
1,735.11,"Low"
1,29.25,"Medium"
2,177.39,"Low"
3,143.69,"Low"
1,5.5,"Low"
3,31.52,"Medium"
1,1.45,"Low"
1,5.5,"Medium"
1,101.08,"Medium"
2,1.47,"Medium"
2,2.93,"Medium"
1,164.17,"Medium"
1,357.1,"Low"
1,2.1,"Medium"
1,1.68,"Low"
1,10.12,"Low"
2,111.75,"Low"
2,30.33,"Low"
4,13.02,"Low"
4,1337.73,"Low"
1,0.47,"Low"
1,54.08,"Low"
1,25.19,"Medium"
1,99.17,"Medium"
1,1.17,"Low"
1,45.6,"Low"
1,98.62,"Low"
1,387,"Medium"
2,10.42,"Low"
1,318.42,"Medium"
1,0.52,"High"
1,1.37,"Medium"
3,39.9,"Medium"
1,67.47,"Low"
1,188.71,"Low"
1,0.1,"Low"
0,0.22,"Medium"
1,154.76,"Low"
0,0.18,"Medium"
1,0.4,"Medium"
1,3.5,"Low"
1,45.1,"Low"
1,7.05,"Medium"
1,0.97,"Medium"
1,22.48,"Low"
1,0.8,"Low"
0,2.08,"Low"
0,0.8,"Low"
1,10.35,"Medium"
1,0,"Low"
1,2.53,"Low"
1,6.65,"Low"
1,3.47,"Low"
1,133.65,"Medium"
2,190,"Medium"
1,26.77,"Low"
1,0.58,"Medium"
1,6.57,"Low"
2,55.57,"Medium"
0,0,"Medium"
0,0,"Medium"
2,321.55,"Low"
2,20.13,"Low"
1,4.27,"Medium"
2,10,"Low"
1,12.55,"Medium"
1,61.03,"Low"
1,4.22,"Medium"
2,17.17,"Low"
0,0,"Medium"
2,417.93,"Low"
1,50.25,"Low"
1,1.47,"Medium"
1,0,"Low"
1,1.52,"Low"
1,32.83,"Low"
2,33.95,"Medium"
0,0.78,"Low"
0,0.83,"Low"
1,31.23,"Medium"
1,21.13,"Medium"
6,135,"Low"
1,0.77,"Medium"
1,0.47,"Medium"
1,8.33,"Medium"
2,2.4,"Low"
2,10.2,"Medium"
0,0.87,"Low"
2,5.7,"Medium"
0,22.03,"Low"
3,92.87,"Medium"
2,3.65,"Medium"
1,9.92,"Medium"
1,0.57,"Medium"
2,301.83,"Low"
1,2.07,"Low"
1,0,"Medium"
1,204.1,"Low"
1,0,"Low"
1,1.92,"Low"
2,0.83,"Low"
1,3.52,"Low"
3,46.52,"Medium"
1,0,"Low"
1,12.75,"Low"
1,0,"Low"
3,3.65,"Low"
1,97.77,"Low"
1,10,"Low"
1,163.23,"Low"
1,19.22,"Medium"
1,19.22,"Medium"
1,5.92,"Low"
1,15.53,"Low"
1,32.63,"Low"
0,0.92,"Low"
1,164.27,"Medium"
3,15.63,"Medium"
1,19.1,"Medium"
4,272.07,"Medium"
2,12.48,"Low"
1,21.07,"Medium"
1,25.33,"Low"
2,64.18,"Low"
1,236.75,"Low"
1,36.85,"Medium"
1,60.63,"Medium"
1,117.25,"Low"
1,21.32,"Medium"
2,78.78,"Medium"
2,12.4,"Medium"
5,404.13,"Medium"
0,0.93,"Low"
0,0.92,"Low"
0,0.95,"Low"
1,1.35,"Low"
1,9.38,"Low"
1,0,"Low"
0,0.78,"Low"
1,1.37,"Medium"
0,1.02,"Low"
0,0,"Medium"
1,1.37,"Low"
0,0.64,"High"
0,18.85,"Low"
0,10.6,"Low"
0,18.75,"Low"
1,4.17,"Low"
2,35.42,"Medium"
1,3.33,"Low"
1,0.73,"Medium"
1,0.72,"Medium"
1,64.45,"Low"
1,0.12,"Low"
1,35.62,"Low"
2,507.3,"Medium"
1,107.98,"Medium"
2,1.82,"Medium"
1,0.67,"Low"
2,70.9,"Low"
1,0.35,"Low"
1,1.4,"Medium"
1,12.64,"Low"
2,10.8,"Low"
1,14.18,"Medium"
0,0.48,"Low"
1,0.62,"Low"
0,1.63,"Medium"
1,1.42,"Medium"
1,31.48,"Low"
1,1.37,"High"
1,23.12,"Low"
2,1.65,"Low"
1,39.8,"Low"
1,10.7,"Low"
1,144.8,"Low"
1,63.37,"Low"
1,5.83,"Low"
4,74.33,"Low"
2,1.07,"Low"
0,14.04,"Low"
1,5.25,"Medium"
1,136.77,"Low"
1,1.42,"Low"
1,0.73,"Low"
0,13,"Low"
1,71.65,"Medium"
1,79.16,"Low"
0,0.32,"Medium"
3,107.4,"Low"
1,0.32,"Low"
1,15.58,"Medium"
1,2.79,"High"
2,57.97,"Medium"
2,317.77,"Medium"
1,382.98,"Low"
1,3.05,"Low"
1,36.99,"Low"
3,107.81,"Medium"
0,9.71,"Medium"
1,2.84,"Medium"
1,2.57,"Medium"
1,1,"Low"
1,30.43,"Low"
0,8.94,"Low"
1,1.23,"Low"
2,164.1,"Medium"
3,3.07,"Medium"
1,3.82,"Low"
2,2.47,"Low"
1,988.48,"Low"
1,128.85,"Low"
1,21.63,"Medium"
1,50.02,"Low"
2,458.27,"Low"
3,15.23,"Medium"
0,1.63,"Low"
1,5.9,"Low"
2,60,"Medium"
3,52.5,"Low"
0,8.75,"Low"
1,1.65,"Low"
1,2.85,"Low"
3,7.15,"Low"
1,0,"Low"
0,0.23,"Medium"
2,2.43,"Low"
1,5.85,"Medium"
3,62.77,"Medium"
1,3.75,"Low"
4,61.95,"Low"
2,30,"Low"
1,19.95,"Low"
1,0,"Low"
1,3.75,"Low"
2,48.5,"Medium"
2,7.02,"Medium"
4,10,"Low"
1,3.87,"Low"
2,4.13,"Low"
1,2.52,"Medium"
1,15.82,"Low"
0,0.52,"Medium"
2,73.35,"Low"
1,195.62,"Low"
1,0.15,"Low"
1,29.37,"Medium"
1,3.47,"Medium"
1,0.43,"Low"
0,4.2,"Low"
1,4.17,"Low"
3,119.35,"Low"
1,2.23,"Low"
2,0.82,"Low"
0,1.25,"Medium"
1,2.57,"Low"
1,2.67,"Low"
2,45.38,"Medium"
1,38.08,"Medium"
1,0.72,"Low"
1,1.05,"Low"
1,35.7,"Low"
0,0.13,"Medium"
1,8.94,"Low"
4,492.4,"Low"
1,235.98,"Low"
1,6.07,"Medium"
2,0.32,"Low"
1,3.25,"Medium"
1,139.18,"Low"
1,0.97,"Low"
3,197.65,"Low"
1,0.88,"Low"
1,4.27,"Medium"
1,0.65,"Low"
2,6.47,"Medium"
2,130.67,"Medium"
1,0.37,"Medium"
3,422.9,"Low"
2,267.53,"Medium"
1,49.38,"Low"
2,300,"Low"
2,0,"Low"
1,49.4,"Low"
1,13.03,"Low"
1,3.37,"Low"
2,3.45,"Medium"
1,17.03,"Low"
3,73.52,"Low"
1,0,"Low"
2,32.82,"Low"
1,793.22,"Low"
1,150,"Medium"
1,261.4,"Low"
1,20,"Low"
1,114.75,"Low"
1,72.77,"Low"
1,2.18,"Low"
1,13.05,"Low"
1,3.22,"Medium"
2,2.63,"Low"
1,2.13,"Low"
2,3.98,"Low"
3,14.92,"Low"
2,210,"Medium"
1,968.28,"Low"
3,673.65,"Medium"
1,31.8,"Low"
0,2.17,"Medium"
2,317.57,"Low"
1,100.33,"Medium"
1,0.97,"Medium"
1,61.01,"Low"
0,0.38,"Medium"
2,0.22,"Medium"
1,44.88,"Low"
1,5.92,"Low"
2,19.65,"Medium"
2,296.09,"Medium"
1,0.23,"Low"
1,78.59,"Low"
1,155.28,"Low"
1,153.8,"Low"
1,274.35,"Medium"
2,21.08,"Low"
0,1.08,"Low"
4,143.5,"Low"
3,13.44,"Low"
1,0.02,"Medium"
3,28.34,"Medium"
1,7.43,"Low"
2,119.72,"Low"
2,113.25,"Medium"
2,21.7,"Medium"
0,56.88,"Low"
0,1.33,"Low"
1,19.97,"Low"
0,56.83,"Low"
3,179.8,"Low"
1,1388.06,"Low"
1,105.61,"Low"
1,1.23,"Low"
1,8.83,"Low"
1,8.1,"Medium"
1,1.47,"Low"
1,102.65,"Low"
1,5.4,"Low"
2,20,"Low"
1,18.02,"Low"
1,4.66,"Low"
1,0.52,"Low"
1,0.73,"Low"
1,157.11,"Low"
2,132.48,"Low"
0,0.68,"Low"
1,3.69,"Low"
1,3.37,"Low"
4,285.17,"Medium"
1,1.83,"Low"
1,12.4,"Low"
1,3.2,"Low"
1,26.43,"Low"
1,15.41,"Low"
1,31.85,"Low"
1,0.67,"Low"
1,14.36,"Low"
1,0.97,"Low"
1,0.3,"Low"
1,0,"Medium"
1,663.72,"Low"
1,4.2,"Medium"
1,0,"Low"
2,3.68,"Medium"
1,0,"Medium"
1,31.75,"Low"
1,50.35,"Low"
4,894,"Medium"
1,10.13,"Low"
1,4.02,"Medium"
1,13.55,"Low"
2,63.5,"Low"
2,140.13,"Medium"
1,35.42,"Medium"
1,27.68,"Low"
1,1.12,"Low"
2,2.25,"Low"
1,12.18,"Low"
1,21.82,"Medium"
1,482.48,"Low"
1,10,"Low"
1,8.45,"Medium"
0,0,"Medium"
2,29.3,"Low"
1,21,"Low"
0,1.36,"High"
1,6.35,"Low"
2,0.43,"Low"
1,3.95,"Medium"
2,24.97,"Medium"
4,317.39,"High"
1,76.68,"Low"
1,10.18,"Low"
1,217.6,"Low"
3,30.12,"Low"
1,28.68,"Low"
3,132.27,"Low"
0,51.44,"Low"
0,2.15,"Low"
4,425.95,"Low"
2,60.98,"Low"
1,11.6,"Medium"
0,5.72,"Medium"
0,1.53,"Low"
2,101.65,"Medium"
1,63.45,"Low"
4,32.3,"Medium"
2,56.3,"Medium"
1,15.2,"Low"
1,63.93,"Low"
1,1.23,"Medium"
1,2.38,"Low"
3,60.51,"Low"
1,93.26,"Low"
1,35.3,"Low"
1,2.95,"Medium"
1,1,"Low"
1,134.6,"Low"
2,41.66,"Medium"
0,0.43,"High"
0,120.1,"Low"
0,2.82,"Medium"
2,19.94,"Low"
0,2.73,"Medium"
2,2437.33,"Medium"
2,155.56,"Medium"
1,1.97,"Low"
1,60.46,"Medium"
3,281.85,"Medium"
1,56.7,"Low"
3,107.07,"Low"
0,32.12,"Low"
1,2.03,"Low"
0,1.93,"Medium"
1,9.39,"Low"
2,0.55,"Medium"
0,39.12,"Low"
2,67.95,"Medium"
1,30.21,"Low"
4,1899.33,"Medium"
1,966.43,"Low"
1,1272.16,"Low"
1,254.5,"Medium"
1,0.7,"Low"
1,82.38,"Medium"
4,189.69,"Low"
4,24.58,"High"
1,3.65,"Low"
1,0.87,"Low"
1,5.27,"Low"
5,310,"Low"
0,1.28,"High"
1,0.77,"Low"
3,47.75,"Low"
1,0.93,"Low"
0,1.67,"Low"
1,10,"Medium"
2,1450.7,"Low"
1,229.45,"Low"
1,0.63,"Low"
1,3.48,"Low"
1,10,"Low"
1,134.62,"Medium"
2,2.07,"Low"
2,42.27,"Low"
1,4.5,"Low"
0,1.65,"Low"
1,154.15,"Low"
1,13.37,"Low"
1,13.4,"Low"
1,52.72,"Low"
1,776.33,"Low"
0,0.72,"Low"
1,0,"Low"
1,3.45,"Low"
1,0.72,"Medium"
4,3567.7,"Low"
2,0,"Low"
1,210,"Low"
1,340.62,"Medium"
0,5.1,"Low"
1,22.98,"Low"
2,2.43,"Low"
1,21.27,"Low"
1,3.83,"Low"
1,23.03,"Low"
4,6.4,"Low"
1,0,"Low"
1,32.93,"Low"
0,1.15,"Low"
0,1.78,"Low"
0,3.02,"Medium"
1,1.35,"Medium"
1,22.53,"Medium"
0,14.68,"Low"
1,4,"Low"
1,3.02,"Low"
2,91.85,"Medium"
1,14.63,"Low"
2,1.67,"Medium"
1,1.2,"Medium"
2,8.46,"Medium"
0,13.05,"Low"
1,0.97,"Low"
1,0.01,"High"
1,7.44,"Medium"
1,2.77,"Low"
1,0.42,"Low"
1,23.6,"Medium"
2,94.08,"Medium"
2,24.62,"Medium"
1,21.5,"Medium"
2,9.25,"Medium"
3,1029.2,"Medium"
5,1446.39,"Medium"
1,33.74,"Low"
1,5.67,"Low"
2,61.65,"Medium"
0,2.35,"Medium"
0,9.52,"Low"
1,11.44,"Low"
4,396.4,"Low"
2,342.58,"Medium"
3,465.89,"Medium"
2,35.85,"Low"
1,9.3,"Low"
1,2.62,"Medium"
1,0.37,"Low"
0,8.45,"Medium"
1,17.4,"Low"
2,5,"Low"
0,49.2,"Low"
1,194.47,"Low"
1,0.73,"Medium"
2,3.7,"Medium"
1,171.97,"Low"
0,16.21,"Low"
1,21.03,"Low"
0,31.4,"Low"
2,277.77,"Medium"
1,11.13,"Low"
0,14.41,"Low"
1,10.88,"Low"
1,43.43,"Low"
1,1.33,"Low"
2,58.15,"Medium"
1,2.29,"Medium"
1,45.19,"Low"
1,60.76,"Low"
0,0.2,"Low"
3,1040.18,"Low"
1,14.07,"Low"
1,13.43,"Low"
1,57.23,"Low"
1,0,"Low"
1,0.08,"Medium"
2,52.37,"Medium"
0,6.47,"Low"
1,22.65,"Low"
1,22.73,"Low"
1,77.68,"Low"
2,0.17,"Medium"
0,0,"Low"
1,0.96,"High"
1,0.95,"Low"
1,1.07,"Low"
1,6.38,"Low"
0,4.57,"Low"
2,4.08,"Low"
1,0,"Medium"
0,1.15,"High"
1,0,"Low"
1,82.4,"Low"
1,0,"Low"
1,83.7,"Low"
0,0,"Medium"
1,204.2,"Medium"
1,40.97,"Low"
1,8.77,"Medium"
1,0.88,"Low"
2,3.98,"Low"
0,0,"Low"
1,0.9,"Low"
1,12.08,"Low"
3,3.48,"Low"
0,10,"Low"
1,140.87,"Low"
0,0.2,"Medium"
0,0.23,"Medium"
0,4.88,"Medium"
0,10,"Low"
0,0.97,"Low"
0,0,"Low"
0,6.4,"Low"
0,4.55,"Low"
3,3.07,"Low"
1,37.27,"Medium"
2,4.2,"Low"
1,65.92,"Medium"
1,0,"Medium"
0,4.88,"Medium"
1,1.58,"Medium"
0,0,"Low"
2,2.1,"Low"
0,0.92,"Low"
1,94.25,"Low"
1,1.37,"Low"
0,4.92,"Medium"
1,23.55,"Medium"
1,0,"Medium"
2,32.5,"Low"
1,0,"Medium"
0,0.98,"Low"
1,1.57,"Medium"
1,0,"Medium"
4,1039.7,"Low"
1,10.6,"Low"
1,0.9,"Low"
1,0.92,"Low"
1,0.93,"Low"
1,24.57,"Medium"
1,1.55,"Medium"
1,0.88,"Low"
1,0,"Medium"
1,27.13,"Medium"
2,0,"Low"
0,0,"Low"
0,57.35,"Medium"
1,0.97,"Low"
0,0.22,"Medium"
1,55.5,"Low"
0,37.07,"Low"
1,0.9,"Low"
1,0,"Low"
1,1.53,"Low"
1,0.18,"Medium"
1,2.8,"Low"
1,180,"Low"
1,0.5,"Medium"
3,13.37,"Low"
1,18.87,"Medium"
1,18.28,"Medium"
0,0,"Low"
1,111.05,"Medium"
1,0,"Medium"
1,0,"Medium"
0,6.18,"Low"
1,0,"Medium"
1,23.53,"Low"
1,0.1,"Low"
1,0.9,"Low"
1,0.53,"Low"
1,60,"Low"
1,0.93,"Low"
1,0.93,"Low"
1,1.28,"Low"
0,16.67,"Low"
1,25.02,"High"
1,17.55,"Medium"
1,0.95,"Low"
1,17.47,"Medium"
1,0.88,"Low"
0,57.4,"Medium"
0,0.2,"Medium"
1,1.53,"Medium"
0,0.2,"Medium"
1,10.77,"Low"
0,12.76,"High"
0,0.87,"Low"
1,1.08,"Low"
0,10.2,"High"
1,2.8,"Low"
2,44.27,"Medium"
1,2.5,"Low"
0,5.08,"Low"
1,0,"Medium"
1,37.18,"Medium"
1,130,"Low"
1,12.68,"Low"
1,0.05,"Low"
2,215.65,"Low"
2,2.12,"Low"
1,6.88,"Medium"
0,84.71,"Low"
1,17.42,"Medium"
0,11.85,"Low"
0,70.68,"Low"
0,0.07,"High"
0,43.86,"Low"
0,11.44,"Low"
1,1.5,"Low"
2,5.25,"Low"
1,20.06,"Low"
1,0.63,"Low"
1,1.45,"Low"
1,0,"Low"
1,2.55,"Low"
1,19.48,"Low"
1,1.77,"Low"
1,14.77,"Low"
0,0.05,"Low"
1,0.8,"Low"
2,15.08,"Medium"
1,0.73,"Low"
1,0.89,"High"
2,13.98,"Medium"
2,147.72,"Low"
0,7.78,"Low"
1,2.22,"Medium"
1,1.7,"Medium"
1,3.73,"Low"
1,1,"Low"
1,6.83,"Medium"
1,22.49,"Medium"
1,9.23,"Low"
1,5.93,"Low"
1,22.45,"Medium"
2,136.45,"Low"
2,136.53,"Low"
1,1,"Low"
2,35.34,"High"
1,0.2,"Low"
1,22.05,"Medium"
1,47.95,"Low"
1,16.85,"Low"
2,1.49,"High"
3,27.52,"Low"
1,5.33,"Medium"
1,0.53,"Low"
1,16.27,"Medium"
1,4.96,"Low"
1,2.23,"Low"
1,17.48,"Low"
1,0.13,"Low"
1,617.6,"Low"
0,72.27,"Low"
1,1.77,"Low"
2,0.17,"Low"
0,0.57,"Low"
1,23.12,"Medium"
1,325.35,"Medium"
0,0.01,"High"
3,75.42,"Low"
1,3.89,"Medium"
0,111.44,"Low"
1,284.95,"Low"
2,22.3,"Medium"
3,4.83,"Low"
1,78.2,"Low"
0,9.57,"Low"
1,339.58,"Low"
1,16.94,"Medium"
1,1,"Low"
5,364.3,"Low"
4,352.83,"Medium"
1,3.11,"High"
1,3.02,"High"
4,123,"Low"
1,5.48,"Low"
1,1.59,"High"
1,1.13,"High"
2,1090.92,"Low"
2,92.77,"Medium"
2,2.93,"Medium"
0,10.02,"High"
1,7.15,"Low"
1,1.33,"Low"
3,1090.9,"Low"
1,27.42,"Low"
1,157.4,"Low"
1,1.4,"Low"
1,12.57,"Low"
1,6.4,"Low"
1,0.73,"High"
1,292.13,"Low"
1,14.13,"Low"
1,1.53,"Low"
1,0.87,"Low"
1,13.58,"Low"
1,3.7,"Low"
0,21.57,"Low"
0,0,"Medium"
0,50,"Low"
1,5.68,"Low"
0,1.78,"Low"
1,12.85,"Medium"
0,3.4,"Low"
1,0,"Low"
0,0.43,"Medium"
3,329.67,"Low"
1,120.9,"Low"
1,16.29,"Medium"
1,3.38,"Low"
4,41.35,"Low"
5,374.77,"Medium"
0,0.03,"Medium"
0,0.03,"Medium"
1,16.08,"Low"
1,126.29,"Low"
2,2.08,"Medium"
1,4.4,"Medium"
1,15.05,"Low"
3,21.02,"Medium"
1,2.27,"Low"
1,139.15,"Low"
0,5.42,"Low"
1,0.13,"Low"
2,250.98,"Low"
1,319.17,"Low"
1,10.85,"Low"
1,3.02,"Low"
3,0.42,"Low"
1,0.42,"Medium"
1,28.05,"Medium"
2,1.82,"Low"
3,8.35,"Medium"
1,1.57,"Low"
1,0,"Low"
2,26.77,"Low"
1,2.97,"Low"
1,8.69,"Medium"
1,0.78,"Low"
1,66.26,"Low"
1,132.02,"Low"
1,199.92,"Low"
1,1.75,"Low"
2,114.52,"Low"
1,0.75,"Medium"
3,1.35,"Low"
1,6.75,"Low"
1,72.55,"Medium"
2,60.05,"Medium"
5,252.49,"Medium"
2,183.4,"Medium"
2,114.72,"Low"
0,17.1,"Low"
1,130.32,"Low"
1,0.58,"High"
3,113.74,"Medium"
1,45.75,"Low"
1,26.55,"Low"
1,15,"Low"
1,267.42,"Low"
1,119.54,"Medium"
0,13.5,"Low"
1,2.68,"Low"
1,0.4,"Low"
1,12.98,"Low"
3,47.74,"High"
4,5.45,"Medium"
0,0.08,"Low"
2,3.96,"Low"
1,25.43,"Medium"
1,0.92,"Low"
1,22.82,"Low"
1,7,"Low"
1,25.3,"Low"
1,7.05,"Low"
1,0.38,"Low"
1,6.79,"Low"
1,61.05,"Medium"
1,40.53,"Low"
2,68.8,"Low"
1,23.2,"Low"
1,1.92,"Medium"
1,0.58,"Low"
1,7.67,"High"
1,0.6,"Low"
0,0.53,"Low"
2,6.78,"Low"
1,1.45,"Low"
1,0.53,"Low"
1,17.8,"Low"
1,27.03,"Medium"
1,0.57,"Low"
1,3.55,"Low"
1,2.65,"Low"
1,2.83,"Low"
0,0,"Medium"
1,0.55,"Low"
2,88.95,"Medium"
3,5.22,"Low"
0,0.55,"Low"
1,13.4,"Low"
0,12.82,"Low"
0,0.57,"Low"
1,6.92,"Medium"
1,7.08,"Low"
1,62.08,"Low"
0,0,"Low"
3,12.73,"Low"
2,5.12,"Low"
1,2.67,"Medium"
1,0,"Low"
1,13.85,"Low"
1,0,"Low"
1,3.72,"Low"
0,2,"Medium"
1,3.23,"Medium"
1,0.4,"Medium"
0,29.2,"Low"
2,28.78,"Medium"
0,0.23,"Medium"
0,3.95,"Medium"
1,2.7,"Medium"
1,21.08,"Medium"
0,28.68,"Low"
1,0.85,"Medium"
1,3.25,"Low"
0,2.57,"Low"
0,28.03,"Low"
4,492.2,"Medium"
1,11.65,"Low"
1,7.27,"Medium"
1,30.67,"Medium"
1,1.73,"Low"
4,129.3,"Low"
1,66.52,"Low"
1,2.93,"Low"
1,94.52,"Medium"
3,74.55,"Low"
1,2.12,"Low"
1,49.3,"Medium"
2,69.6,"Low"
1,3.12,"Low"
1,0.4,"Low"
2,1.65,"Medium"
3,66.82,"Medium"
1,5.83,"Low"
1,19.57,"Low"
2,221.87,"Low"
1,14.25,"Low"
1,23.88,"Low"
1,84.43,"Medium"
5,446.82,"Low"
2,250.95,"Medium"
1,8.58,"Low"
0,0,"Low"
4,10.9,"Medium"
4,46.68,"Low"
1,1.28,"Low"
2,8.45,"Low"
1,0.78,"Low"
1,0.27,"Low"
1,18.68,"Low"
2,137.45,"Low"
0,0.87,"Low"
2,42.28,"Low"
2,73.9,"Low"
2,0.72,"Low"
1,43.06,"Low"
2,215.13,"Low"
3,5.97,"Low"
7,1850.68,"Low"
1,0.65,"Low"
1,85.18,"Low"
3,11.87,"Medium"
1,2.02,"Low"
1,4.9,"Low"
1,41.43,"Medium"
1,40.37,"Low"
2,234.28,"Low"
4,25.02,"Low"
1,650.42,"Low"
1,1.59,"Low"
1,798.09,"Low"
1,32.85,"Low"
1,32.74,"Low"
2,238.7,"Low"
1,8.55,"Low"
1,0.85,"Low"
1,17.37,"Low"
2,136.87,"Medium"
1,17.75,"Low"
3,1530.78,"Medium"
2,83.62,"Low"
2,150,"Low"
2,14.47,"Low"
1,17.8,"Low"
1,7.03,"Low"
1,16.6,"Medium"
1,8.45,"Low"
0,0,"Medium"
1,7.93,"Low"
2,2.52,"Low"
3,12.65,"Medium"
0,39.55,"Low"
1,44.97,"Low"
2,13.08,"Low"
1,28.5,"Low"
1,54.23,"Low"
2,2.27,"Low"
1,0.87,"Low"
1,4.18,"Low"
1,36.3,"Low"
1,7.97,"Low"
2,2467.68,"Low"
1,350.97,"Low"
1,3.9,"Low"
1,16.92,"Low"
1,14.93,"Medium"
2,16.47,"Medium"
1,101.93,"Low"
0,4.63,"Low"
1,300.85,"Low"
1,368.11,"Low"
1,1.23,"Low"
0,0.28,"Medium"
1,6.02,"Low"
1,0.28,"Low"
1,0.93,"Low"
1,26.95,"Medium"
1,56.33,"Low"
2,337.91,"Low"
1,23.42,"Low"
1,0.05,"Low"
1,118.31,"High"
1,42.2,"Low"
1,9.43,"Low"
1,35.65,"Low"
1,5.25,"Low"
1,45.32,"Medium"
5,187.15,"Low"
2,352.83,"Low"
1,9.48,"Low"
0,6.88,"Medium"
1,14.68,"Medium"
2,156.54,"Low"
3,3.86,"Low"
1,0.9,"Medium"
1,0.78,"Low"
1,0.87,"High"
1,0.5,"Low"
0,0.45,"Low"
0,3.91,"Low"
0,1.78,"Medium"
0,1.73,"Medium"
0,1.73,"Medium"
0,1.83,"Medium"
0,7.81,"Medium"
0,7.72,"Medium"
0,1.78,"Medium"
1,5.53,"Medium"
1,0.05,"Low"
1,0.43,"Medium"
1,0.45,"Medium"
1,0.3,"Low"
1,5,"Medium"
1,4.95,"Medium"
1,101.12,"Low"
1,1.1,"Low"
1,1.15,"Medium"
1,2.98,"Medium"
1,0.33,"Low"
1,0,"Medium"
3,60.05,"Low"
2,117.73,"Medium"
0,0,"Medium"
2,30.43,"Medium"
1,1241.62,"Low"
0,0,"Medium"
1,22.25,"Low"
3,805.6,"Medium"
2,856.32,"Low"
0,10,"Low"
1,168.05,"Medium"
2,13.8,"Low"
1,120.55,"Medium"
1,112.35,"Low"
1,129.65,"Low"
1,2.77,"Medium"
1,164.93,"Low"
2,13.48,"Low"
2,0.78,"Low"
1,16.14,"Medium"
1,0.38,"High"
1,43.07,"Medium"
1,2.12,"Low"
0,0.38,"Medium"
1,10.8,"Low"
1,48.6,"Low"
3,80.66,"Low"
1,3.37,"Low"
2,92.54,"Low"
1,0.82,"Low"
3,292.67,"Low"
1,0.3,"Low"
1,0.68,"Low"
1,3.15,"Low"
1,2.78,"Medium"
0,40.37,"Low"
2,276.68,"Medium"
2,177.93,"Medium"
1,9.99,"Low"
1,4.7,"Low"
5,52.52,"Low"
2,12.41,"Low"
0,1.38,"Low"
1,0.53,"Medium"
1,33.73,"Low"
1,0.45,"Medium"
1,93.98,"Medium"
3,1411.44,"Low"
2,5,"Medium"
1,0.12,"Medium"
2,110.8,"Medium"
2,5.27,"Low"
1,6.15,"Low"
1,101.12,"Medium"
1,0.32,"Low"
0,0.77,"Medium"
1,121.91,"High"
1,24.98,"Low"
1,15.38,"Medium"
1,1.02,"Low"
2,43.02,"Low"
1,22.97,"Low"
2,221.28,"Medium"
2,1.07,"Medium"
2,86.18,"Low"
2,415.62,"Medium"
2,1.45,"Low"
0,0.52,"Medium"
0,0.22,"Medium"
1,0.58,"Low"
1,0.03,"Low"
1,275.05,"Low"
3,66.62,"Low"
2,28.4,"Low"
1,271.07,"Medium"
1,154.3,"Low"
0,0.92,"Low"
0,0.95,"Low"
0,0.37,"Low"
1,0,"Low"
1,2.17,"Low"
1,0.33,"Medium"
1,18.92,"Medium"
1,42.97,"Medium"
2,286.25,"Medium"
1,0.28,"Medium"
1,53.43,"Medium"
1,21.38,"Low"
1,100.68,"Low"
1,6.95,"Medium"
1,54.4,"Low"
1,70.73,"Low"
1,1.7,"Medium"
1,240,"Low"
1,7.52,"Medium"
1,8.73,"Low"
2,39.03,"Low"
1,0,"Low"
1,167.82,"Medium"
2,74,"Low"
3,3.83,"Low"
1,198.72,"Low"
1,0,"Medium"
1,4.82,"Medium"
1,5.07,"Low"
1,0.12,"Medium"
1,13.05,"Medium"
1,20.22,"Medium"
2,14.7,"Low"
2,0,"Medium"
0,0.52,"Low"
0,0.88,"Medium"
1,3.8,"Low"
0,0.88,"Medium"
2,20.25,"Medium"
0,0.55,"Low"
1,1.65,"Medium"
